        date_range        | item_perm_location |       loan_date        |                                          holdings_shelving_title                                          | holdings_call_number | item_call_number  |   item_barcode   | item_enumeration | copy_numbers | item_status_name |    material_type    | group_name  
--------------------------+--------------------+------------------------+-----------------------------------------------------------------------------------------------------------+----------------------+-------------------+------------------+------------------+--------------+------------------+---------------------+-------------
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 |                                                                                                           | JF400 .J300 1967     | JF400 .J300 1967  | 0633258721667404 | v. 5             | [           +| Available        | video recording     | Sophomore
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "3" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | The Chrysalids                                                                                            | CR0992 .Y3 1987      | CR0992 .Y3 1987   | 3358362778285356 | v. 7             | [           +| Available        | book                | Affiliate_D
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "2" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | Caraval                                                                                                   | GH1085 .W15 1931     | GH1085 .W15 1931  | 6655364968127659 | v. 23            | [           +| Available        | dvd                 | Affiliate_D
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "1" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | Gone (Michael Bennett, #6)                                                                                | FY769 .N453 2005     | FY769 .N453 2005  | 5469039188806029 | v. 2             | [           +| Available        | video recording     | Sophomore
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "3" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | This Savage Song (Monsters of Verity, #1)                                                                 | BL4928 .K75 1978     | BL4928 .K75 1978  | 7087494704955443 | v. 26            | [           +| Available        | electronic resource | Alumni
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "1" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | Enchantment                                                                                               | BL5980 .A03 1930     | BL5980 .A03 1930  | 9437189068675653 | v. 4             | [           +| Available        | text                | Staff
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "5" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | Fine Things                                                                                               | HP54 .E754 2002      | HP54 .E754 2002   | 1657091589251051 | v. 13            | [           +| Available        | text                | Affiliate_A
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "1" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | The Empty Chair (Lincoln Rhyme, #3)                                                                       | DR734 .C86 1968      | DR734 .C86 1968   | 9543856119904231 | v. 23            | [           +| Available        | microform           | Sophomore
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "4" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | I, Claudius (Claudius, #1)                                                                                | CM94 .I798 1944      | CM94 .I798 1944   | 0022208706425525 | v. 27            | [           +| Available        | electronic resource | Sophomore
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "3" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | The Seven-Percent Solution                                                                                | FP327 .M74 1953      | FP327 .M74 1953   | 8178562286294417 | v. 20            | [           +| Available        | video recording     | Graduate
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "3" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | Prized (Birthmarked, #2)                                                                                  | EC4148 .L8 1943      | EC4148 .L8 1943   | 0704717994238868 | v. 16            | [           +| Available        | book                | Junior
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "5" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | El coronel no tiene quien le escriba                                                                      | NF764 .D65 2003      | NF764 .D65 2003   | 6679127907864395 | v. 14            | [           +| Available        | microform           | Affiliate_A
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "4" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | Scat                                                                                                      | MU718 .H996 1937     | MU718 .H996 1937  | 8875491551158335 | v. 27            | [           +| Available        | sound recording     | Junior
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "3" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | Ironweed                                                                                                  | CO213 .K43 2015      | CO213 .K43 2015   | 5108944353566941 | v. 23            | [           +| Available        | book                | Affiliate_C
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "3" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | Milkweed                                                                                                  | RB1150 .U8 2017      | RB1150 .U8 2017   | 9981411092277995 | v. 2             | [           +| Available        | book                | Sophomore
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "2" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | Touching Spirit Bear (Spirit Bear, #1)                                                                    | TL3503 .X9 2006      | TL3503 .X9 2006   | 6954656971565539 | v. 6             | [           +| Available        | electronic resource | Affiliate_C
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "1" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | The Strange Case of Origami Yoda (Origami Yoda, #1)                                                       | CL01 .T99 1980       | CL01 .T99 1980    | 5027510416248773 | v. 16            | [           +| Available        | book                | Alumni
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "4" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | Caraval                                                                                                   | GH1085 .W15 1931     | GH1085 .W15 1931  | 6655364968127659 | v. 23            | [           +| Available        | dvd                 | Sophomore
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "1" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | The Woman in Black                                                                                        | FE89 .L9 1935        | FE89 .L9 1935     | 1018323790126566 | v. 20            | [           +| Available        | sound recording     | Alumni
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "1" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | The Art of Fielding                                                                                       | RV09 .Q17 1937       | RV09 .Q17 1937    | 7820310667483630 | v. 17            | [           +| Available        | text                | Affiliate_B
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "5" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results                                 | ZT44 .B9 1955        | ZT44 .B9 1955     | 6643325404278185 | v. 25            | [           +| Available        | video recording     | Sophomore
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |         "2" +|                  |                     | 
                          |                    |                        |                                                                                                           |                      |                   |                  |                  |     ]        |                  |                     | 
 2017-01-01 to 2018-12-31 | Alvarez Library    | 2018-01-01 00:00:00+00 | The Problem with Forever                                                                                  | KI032 .S689 1975     | KI032 .S689 1975  | 1745410085618905 | v. 27            | [           +| Available        | dvd                 | Affiliate_D
