service_point_name,action_date,day_of_week,hour_of_day,material_type_name,action_type,item_effective_location_name_at_check_out,item_status,ct
Online,2020-12-03,Thursday ,1,book,Checkin,Main Library,In transit,1
Online,2020-12-03,Thursday ,1,book,Checkout,Main Library,In transit,1
Online,2020-12-03,Thursday ,2,book,Checkin,Main Library,In transit,1
Online,2020-12-03,Thursday ,2,book,Checkout,Main Library,In transit,1
Online,2020-12-03,Thursday ,12,book,Checkin,Main Library,In transit,1
Online,2020-12-03,Thursday ,12,book,Checkout,Main Library,In transit,1
,2017-01-05,Thursday ,12,book,Checkout,,Checked out,1
,2017-02-03,Friday   ,8,dvd,Checkout,,Available,1
,2017-03-01,Wednesday,11,dvd,Checkin,,Available,1
,2017-03-03,Friday   ,15,book,Checkout,,Checked out,1
,2017-03-05,Sunday   ,18,book,Checkout,,Available,1
,2017-03-05,Sunday   ,18,book,Checkout,,Checked out,1
,2020-12-03,Thursday ,1,book,Checkout,Main Library,Checked out,21
,2020-12-03,Thursday ,2,book,Checkout,Main Library,Checked out,1
