 service_point_name |    service_point_display_name     | action_date | day_of_week | hour_of_day |    material_type    | action_type | ct  
--------------------+-----------------------------------+-------------+-------------+-------------+---------------------+-------------+-----
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-01  | Monday      |           0 | book                | Checkout    | 194
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-01  | Monday      |           0 | dvd                 | Checkout    | 204
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-01  | Monday      |           0 | electronic resource | Checkout    | 190
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-01  | Monday      |           0 | microform           | Checkout    | 188
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-01  | Monday      |           0 | sound recording     | Checkout    | 193
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-01  | Monday      |           0 | text                | Checkout    | 200
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-01  | Monday      |           0 | unspecified         | Checkout    | 193
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-01  | Monday      |           0 | video recording     | Checkout    | 227
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-02  | Tuesday     |           0 | book                | Checkout    | 152
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-02  | Tuesday     |           0 | dvd                 | Checkout    | 178
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-02  | Tuesday     |           0 | electronic resource | Checkout    | 187
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-02  | Tuesday     |           0 | microform           | Checkout    | 162
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-02  | Tuesday     |           0 | sound recording     | Checkout    | 156
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-02  | Tuesday     |           0 | text                | Checkout    | 132
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-02  | Tuesday     |           0 | unspecified         | Checkout    | 155
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-02  | Tuesday     |           0 | video recording     | Checkout    | 151
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-03  | Wednesday   |           0 | book                | Checkout    | 140
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-03  | Wednesday   |           0 | dvd                 | Checkout    | 149
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-03  | Wednesday   |           0 | electronic resource | Checkout    | 121
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-03  | Wednesday   |           0 | microform           | Checkout    | 149
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-03  | Wednesday   |           0 | sound recording     | Checkout    | 154
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-03  | Wednesday   |           0 | text                | Checkout    | 136
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-03  | Wednesday   |           0 | unspecified         | Checkout    | 156
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-03  | Wednesday   |           0 | video recording     | Checkout    | 129
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-04  | Thursday    |           0 | book                | Checkout    | 134
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-04  | Thursday    |           0 | dvd                 | Checkout    | 134
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-04  | Thursday    |           0 | electronic resource | Checkout    | 148
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-04  | Thursday    |           0 | microform           | Checkout    | 158
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-04  | Thursday    |           0 | sound recording     | Checkout    | 107
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-04  | Thursday    |           0 | text                | Checkout    | 122
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-04  | Thursday    |           0 | unspecified         | Checkout    | 116
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-04  | Thursday    |           0 | video recording     | Checkout    | 101
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-05  | Friday      |           0 | book                | Checkout    | 125
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-05  | Friday      |           0 | dvd                 | Checkout    | 133
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-05  | Friday      |           0 | electronic resource | Checkout    | 136
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-05  | Friday      |           0 | microform           | Checkout    | 126
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-05  | Friday      |           0 | sound recording     | Checkout    | 111
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-05  | Friday      |           0 | text                | Checkout    | 130
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-05  | Friday      |           0 | unspecified         | Checkout    | 115
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-05  | Friday      |           0 | video recording     | Checkout    | 105
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-06  | Saturday    |           0 | book                | Checkout    | 131
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-06  | Saturday    |           0 | dvd                 | Checkout    | 112
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-06  | Saturday    |           0 | electronic resource | Checkout    | 124
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-06  | Saturday    |           0 | microform           | Checkout    | 117
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-06  | Saturday    |           0 | sound recording     | Checkout    | 126
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-06  | Saturday    |           0 | text                | Checkout    | 133
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-06  | Saturday    |           0 | unspecified         | Checkout    | 124
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-06  | Saturday    |           0 | video recording     | Checkout    | 128
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-07  | Sunday      |           0 | book                | Checkout    |  94
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-07  | Sunday      |           0 | dvd                 | Checkout    | 121
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-07  | Sunday      |           0 | electronic resource | Checkout    | 125
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-07  | Sunday      |           0 | microform           | Checkout    | 124
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-07  | Sunday      |           0 | sound recording     | Checkout    | 110
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-07  | Sunday      |           0 | text                | Checkout    | 102
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-07  | Sunday      |           0 | unspecified         | Checkout    | 114
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-07  | Sunday      |           0 | video recording     | Checkout    | 109
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-08  | Monday      |           0 | book                | Checkout    |  96
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-08  | Monday      |           0 | dvd                 | Checkout    | 108
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-08  | Monday      |           0 | electronic resource | Checkout    | 120
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-08  | Monday      |           0 | microform           | Checkout    | 110
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-08  | Monday      |           0 | sound recording     | Checkout    | 113
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-08  | Monday      |           0 | text                | Checkout    | 119
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-08  | Monday      |           0 | unspecified         | Checkout    | 130
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-08  | Monday      |           0 | video recording     | Checkout    | 127
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-09  | Tuesday     |           0 | book                | Checkout    | 120
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-09  | Tuesday     |           0 | dvd                 | Checkout    | 100
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-09  | Tuesday     |           0 | electronic resource | Checkout    | 111
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-09  | Tuesday     |           0 | microform           | Checkout    | 126
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-09  | Tuesday     |           0 | sound recording     | Checkout    | 104
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-09  | Tuesday     |           0 | text                | Checkout    | 113
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-09  | Tuesday     |           0 | unspecified         | Checkout    | 132
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-09  | Tuesday     |           0 | video recording     | Checkout    | 115
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-10  | Wednesday   |           0 | book                | Checkout    | 101
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-10  | Wednesday   |           0 | dvd                 | Checkout    | 121
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-10  | Wednesday   |           0 | electronic resource | Checkout    |  96
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-10  | Wednesday   |           0 | microform           | Checkout    | 117
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-10  | Wednesday   |           0 | sound recording     | Checkout    | 111
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-10  | Wednesday   |           0 | text                | Checkout    | 114
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-10  | Wednesday   |           0 | unspecified         | Checkout    | 111
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-10  | Wednesday   |           0 | video recording     | Checkout    | 133
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-11  | Thursday    |           0 | book                | Checkout    |  99
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-11  | Thursday    |           0 | dvd                 | Checkout    | 125
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-11  | Thursday    |           0 | electronic resource | Checkout    | 124
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-11  | Thursday    |           0 | microform           | Checkout    | 113
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-11  | Thursday    |           0 | sound recording     | Checkout    | 101
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-11  | Thursday    |           0 | text                | Checkout    | 116
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-11  | Thursday    |           0 | unspecified         | Checkout    | 112
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-11  | Thursday    |           0 | video recording     | Checkout    | 108
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-12  | Friday      |           0 | book                | Checkout    | 107
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-12  | Friday      |           0 | dvd                 | Checkout    | 101
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-12  | Friday      |           0 | electronic resource | Checkout    | 140
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-12  | Friday      |           0 | microform           | Checkout    | 138
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-12  | Friday      |           0 | sound recording     | Checkout    |  93
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-12  | Friday      |           0 | text                | Checkout    | 108
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-12  | Friday      |           0 | unspecified         | Checkout    | 106
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-12  | Friday      |           0 | video recording     | Checkout    | 124
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-13  | Saturday    |           0 | book                | Checkout    | 114
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-13  | Saturday    |           0 | dvd                 | Checkout    | 115
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-13  | Saturday    |           0 | electronic resource | Checkout    | 131
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-13  | Saturday    |           0 | microform           | Checkout    | 105
